Main_AA,Sub_AA,Rlab_PTSCwScore
Glutamine,Valine,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_DF:m4
Glutamic acid,Alanine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_N:0
Glutamic acid,Arginine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:2
Glutamic acid,Asparagine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:1
Glutamic acid,Aspartic acid,APT_F:2|ICP_F:1|ECP_N:0|MEP_F:8
Glutamic acid,Cysteine,APT_DF:m4|ICP_DF:m2|ECP_DF:m6|MEP_DF:m3
Glutamic acid,Glutamine,APT_F:2|ICP_F:1|ECP_N:0|MEP_F:7
Glutamic acid,Glutamic acid,APT_F:4|ICP_F:4|ECP_F:4|MEP_F:10
Glutamic acid,Glycine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_F:3
Glutamic acid,Histidine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:2
Glutamic acid,Isoleucine,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m4
Glutamic acid,Leucine,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m5
Glutamic acid,Lysine,APT_F:1|ICP_N:0|ECP_N:0|MEP_F:1
Glutamic acid,Methionine,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_DF:m3
Glutamic acid,Phenylalanine,APT_DF:m3|ICP_DF:m2|ECP_DF:m2|MEP_DF:m6
Glutamic acid,Proline,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m3
Glutamic acid,Serine,APT_N:0|ICP_N:0|ECP_N:0|MEP_N:0
Glutamic acid,Threonine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m1
Glutamic acid,Tryptophan,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m3
Glutamic acid,Tyrosine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_DF:m5
Glutamic acid,Valine,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_DF:m2
Glycine,Alanine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:1
Glycine,Arginine,APT_DF:m2|ICP_N:0|ECP_N:0|MEP_N:0
Glycine,Asparagine,APT_N:0|ICP_N:0|ECP_N:0|MEP_DF:m2
Glycine,Aspartic acid,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_F:3
Glycine,Cysteine,APT_DF:m3|ICP_DF:m1|ECP_DF:m6|MEP_DF:m1
Glycine,Glutamine,APT_DF:m2|ICP_N:0|ECP_N:0|MEP_DF:m1
Glycine,Glutamic acid,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_F:3
Glycine,Glycine,APT_F:4|ICP_F:4|ECP_F:4|MEP_F:4
Glycine,Histidine,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_DF:m3
Glycine,Isoleucine,APT_DF:m4|ICP_DF:m3|ECP_DF:m2|MEP_DF:m2
Glycine,Leucine,APT_DF:m4|ICP_DF:m3|ECP_DF:m2|MEP_DF:m4
Glycine,Lysine,APT_DF:m2|ICP_N:0|ECP_DF:m1|MEP_DF:m1
Glycine,Methionine,APT_DF:m3|ICP_DF:m2|ECP_DF:m2|MEP_DF:m3
Glycine,Phenylalanine,APT_DF:m3|ICP_DF:m3|ECP_DF:m3|MEP_DF:m5
Glycine,Proline,APT_DF:m2|ICP_N:0|ECP_N:0|MEP_DF:m1
Glycine,Serine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:1
Glycine,Threonine,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_N:0
Glycine,Tryptophan,APT_DF:m2|ICP_DF:m2|ECP_DF:m2|MEP_DF:m2
Glycine,Tyrosine,APT_DF:m3|ICP_DF:m2|ECP_DF:m2|MEP_DF:m5
Glycine,Valine,APT_DF:m3|ICP_DF:m2|ECP_DF:m2|MEP_DF:m1
Histidine,Alanine,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_DF:m3
Histidine,Arginine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:5
Histidine,Asparagine,APT_F:1|ICP_N:0|ECP_N:0|MEP_F:3
Histidine,Aspartic acid,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_F:3
Histidine,Cysteine,APT_DF:m3|ICP_N:0|ECP_DF:m5|MEP_DF:m1
Histidine,Glutamine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:7
Histidine,Glutamic acid,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:2
Histidine,Glycine,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_DF:m3
Histidine,Histidine,APT_F:4|ICP_F:4|ECP_F:4|MEP_F:10
Histidine,Isoleucine,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m4
Histidine,Leucine,APT_DF:m3|ICP_DF:m1|ECP_DF:m1|MEP_DF:m4
Histidine,Lysine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_F:4
Histidine,Methionine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_DF:m3
Histidine,Phenylalanine,APT_DF:m1|ICP_DF:m1|ECP_DF:m1|MEP_DF:m3
Histidine,Proline,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_DF:m4
Histidine,Serine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m2
Histidine,Threonine,APT_DF:m2|ICP_N:0|ECP_N:0|MEP_DF:m2
Histidine,Tryptophan,APT_DF:m2|ICP_N:0|ECP_DF:m1|MEP_DF:m1
Histidine,Tyrosine,APT_F:2|ICP_F:1|ECP_N:0|MEP_F:6
Histidine,Valine,APT_DF:m3|ICP_DF:m1|ECP_DF:m1|MEP_DF:m4
Isoleucine,Alanine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_N:0
Isoleucine,Arginine,APT_DF:m3|ICP_DF:m1|ECP_N:0|MEP_DF:m3
Isoleucine,Asparagine,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m3
Isoleucine,Aspartic acid,APT_DF:m3|ICP_DF:m3|ECP_DF:m2|MEP_DF:m3
Isoleucine,Cysteine,APT_DF:m1|ICP_N:0|ECP_DF:m5|MEP_DF:m1
Isoleucine,Glutamine,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m4
Isoleucine,Glutamic acid,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m4
Isoleucine,Glycine,APT_DF:m4|ICP_DF:m3|ECP_DF:m2|MEP_DF:m2
Isoleucine,Histidine,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m4
Isoleucine,Isoleucine,APT_F:4|ICP_F:4|ECP_F:4|MEP_F:4
Isoleucine,Leucine,APT_F:2|ICP_F:2|ECP_F:1|MEP_F:1
Isoleucine,Lysine,APT_DF:m3|ICP_DF:m1|ECP_N:0|MEP_DF:m4
Isoleucine,Methionine,APT_F:1|ICP_F:1|ECP_N:0|MEP_F:1
Isoleucine,Phenylalanine,APT_N:0|ICP_N:0|ECP_N:0|MEP_DF:m1
Isoleucine,Proline,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m3
Isoleucine,Serine,APT_DF:m2|ICP_DF:m2|ECP_DF:m1|MEP_DF:m1
Isoleucine,Threonine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_N:0
Isoleucine,Tryptophan,APT_DF:m3|ICP_DF:m1|ECP_DF:m1|MEP_DF:m3
Isoleucine,Tyrosine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m4
Isoleucine,Valine,APT_F:3|ICP_F:2|ECP_F:2|MEP_F:2
Leucine,Alanine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m2
Leucine,Arginine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_DF:m3
Leucine,Asparagine,APT_DF:m3|ICP_DF:m2|ECP_DF:m2|MEP_DF:m4
Leucine,Aspartic acid,APT_DF:m4|ICP_DF:m3|ECP_DF:m2|MEP_DF:m5
Leucine,Cysteine,APT_DF:m1|ICP_N:0|ECP_DF:m5|MEP_DF:m1
Leucine,Glutamine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_DF:m2
Leucine,Glutamic acid,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m5
Leucine,Glycine,APT_DF:m4|ICP_DF:m3|ECP_DF:m2|MEP_DF:m4
Leucine,Histidine,APT_DF:m3|ICP_DF:m1|ECP_DF:m1|MEP_DF:m4
